t,r,y,u
0.98000000,0.00000000,0.00000000,0.00000000
1.00000000,180.00000000,0.00000000,0.00000000
1.02000000,180.00000000,1.54285717,5.00000000
1.04000000,180.00000000,8.48571491,5.00000000
1.06000000,180.00000000,18.64285851,2.94825649
1.08000000,180.00000000,29.70000076,1.60830784
1.10000000,180.00000000,41.01428986,1.60085869
1.12000000,180.00000000,52.45714569,1.92519093
1.14000000,180.00000000,64.02857208,2.18515682
1.16000000,180.00000000,75.85714722,2.26676464
1.18000000,180.00000000,87.81429291,2.05696869
1.20000000,180.00000000,100.02857971,1.73460579
1.22000000,180.00000000,111.98571777,1.11991978
1.24000000,180.00000000,123.68572235,0.69859982
1.26000000,180.00000000,134.87142944,0.16200352
1.28000000,180.00000000,145.28572083,-0.29920816
1.30000000,180.00000000,154.02857971,-0.63004541
1.32000000,180.00000000,160.84286499,-0.26213074
1.34000000,180.00000000,166.88572693,0.47002745
1.36000000,180.00000000,172.80000305,0.46477652
1.38000000,180.00000000,178.45715332,-0.08435965
1.40000000,180.00000000,182.95715332,-0.62883496
1.42000000,180.00000000,185.65715027,-0.48862743
1.44000000,180.00000000,187.32858276,0.31335986
1.46000000,180.00000000,189.12858582,0.74739492
1.48000000,180.00000000,191.31430054,0.34206915
1.50000000,180.00000000,192.85714722,-0.36851668
1.52000000,180.00000000,193.37144470,-0.35219115
1.54000000,180.00000000,193.37144470,0.09079856
1.56000000,180.00000000,193.37144470,0.28153369
1.58000000,180.00000000,193.37144470,0.11136756
1.60000000,180.00000000,193.37144470,-0.08264085
1.62000000,180.00000000,193.24287415,-0.27822435
1.64000000,180.00000000,193.24287415,-0.37015745
1.66000000,180.00000000,193.11430359,-0.64329684
1.68000000,180.00000000,192.72857666,-0.73859620
1.70000000,180.00000000,191.70001221,-0.69892496
1.72000000,180.00000000,190.41429138,-0.29842770
1.74000000,180.00000000,189.38572693,-0.08278620
1.76000000,180.00000000,188.87144470,-0.24142814
1.78000000,180.00000000,188.10000610,-0.65363109
1.80000000,180.00000000,187.07144165,-0.52380836
1.82000000,180.00000000,185.91429138,-0.31226027
1.84000000,180.00000000,184.88572693,-0.14959049
1.86000000,180.00000000,184.37144470,-0.16416681
1.88000000,180.00000000,183.98571777,-0.50534475
1.90000000,180.00000000,183.08572388,-0.62058532
1.92000000,180.00000000,181.92858887,-0.21457553
1.94000000,180.00000000,181.15715027,0.10146409
1.96000000,180.00000000,181.15715027,-0.05598813
1.98000000,180.00000000,181.02857971,-0.59855610
2.00000000,180.00000000,180.77143860,-0.54646194
2.02000000,180.00000000,180.00001526,-0.43562734
2.04000000,180.00000000,179.48571777,0.01156420
2.06000000,180.00000000,179.35714722,-0.06020215
2.08000000,180.00000000,179.22857666,-0.29839566
2.10000000,180.00000000,178.84286499,-0.28764668
2.12000000,180.00000000,178.71429443,-0.05118552
2.14000000,180.00000000,178.71429443,-0.17416333
2.16000000,180.00000000,178.71429443,-0.25077081
2.18000000,180.00000000,178.71429443,-0.23825833
2.20000000,180.00000000,178.71429443,-0.21985832
2.22000000,180.00000000,178.71429443,-0.20106936
2.24000000,180.00000000,178.71429443,-0.18225470
2.26000000,180.00000000,178.71429443,-0.16343835
2.28000000,180.00000000,178.71429443,-0.14462189
2.30000000,180.00000000,178.71429443,-0.12580542
2.32000000,180.00000000,178.71429443,-0.10698895
2.34000000,180.00000000,178.71429443,-0.08817248
2.36000000,180.00000000,178.71429443,-0.06935601
2.38000000,180.00000000,178.71429443,-0.05053954
2.40000000,180.00000000,178.71429443,-0.03172307
2.42000000,180.00000000,178.71429443,-0.01290660
2.44000000,180.00000000,178.71429443,0.00590987
2.46000000,180.00000000,178.71429443,0.02472634
2.48000000,180.00000000,178.71429443,0.04354281
2.50000000,180.00000000,178.71429443,0.06235928
2.52000000,180.00000000,178.71429443,0.08117576
2.54000000,180.00000000,178.71429443,0.09999223
2.56000000,180.00000000,178.71429443,0.11880870
2.58000000,180.00000000,178.84286499,0.13762517
2.60000000,180.00000000,178.97143555,0.05268718
2.62000000,180.00000000,178.97143555,0.04519413
2.64000000,180.00000000,178.97143555,0.14481449
2.66000000,180.00000000,178.97143555,0.16545452
2.68000000,180.00000000,178.97143555,0.18087688
2.70000000,180.00000000,178.97143555,0.19595453
2.72000000,180.00000000,178.97143555,0.21100941
2.74000000,180.00000000,178.97143555,0.22606279
2.76000000,180.00000000,178.97143555,0.24111608
2.78000000,180.00000000,178.97143555,0.25616983
2.80000000,180.00000000,178.97143555,0.27122357
2.82000000,180.00000000,178.97143555,0.28627732
2.84000000,180.00000000,178.97143555,0.30133107
2.86000000,180.00000000,178.97143555,0.31638482
2.88000000,180.00000000,178.97143555,0.33143857
2.90000000,180.00000000,178.97143555,0.34649232
2.92000000,180.00000000,178.97143555,0.36154607
2.94000000,180.00000000,178.97143555,0.37659982
2.96000000,180.00000000,178.97143555,0.39165357
2.98000000,180.00000000,178.97143555,0.40670732
